Chip	Plate_Location	Population_Name	no_accent_pop_name	Sample	CEL_file_name	Sex	Paternal_ID	Maternal_ID	Phenotype	Notes	Owner	Private/Public	City	State/Province	Country	Region	Latitude	Longitude	Year	Include_in_chip_manuscript
55	A07	Jaffna	Jaffna	FW01_01	FW01_01				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Jaffna		Sri Lanka		9.6650403	80.0205976		
55	A08	Jaffna	Jaffna	FW02_04	FW02_04				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Jaffna		Sri Lanka		9.6650403	80.0205976		
55	A09	Nallur	Nallur	FW04_02	FW04_02				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Nallur		Sri Lanka		9.6707887	80.0301617		
55	A10	Kokkuvil	Kokkuvil	FW05_05	FW05_05				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Kokkuvil		Sri Lanka		9.6941501	80.0238766		
55	A11	Inuvil	Inuvil	FW07_03	FW07_03				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Inuvil		Sri Lanka		9.712839	80.01196		
55	A12	Kopay	Kopay	FW09_01	FW09_01				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Kopay		Sri Lanka		9.705016	80.05754		
55	B07	Jaffna	Jaffna	FW01_02A	FW01_02A				0ppt	salinity GWAS; technical replica 1	Andrea Gloria-Soria	Private	Jaffna		Sri Lanka		9.6650403	80.0205976		
55	B08	Jaffna	Jaffna	FW02_05	FW02_05				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Jaffna		Sri Lanka		9.6650403	80.0205976		
55	B09	Nallur	Nallur	FW04_03	FW04_03				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Nallur		Sri Lanka		9.6707887	80.0301617		
55	B10	Kokkuvil	Kokkuvil	FW06_01	FW06_01				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Kokkuvil		Sri Lanka		9.6941501	80.0238766		
55	B11	Inuvil	Inuvil	FW07_04	FW07_04				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Inuvil		Sri Lanka		9.712839	80.01196		
55	B12	Kopay	Kopay	FW09_02	FW09_02				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Kopay		Sri Lanka		9.705016	80.05754		
55	C07	Jaffna	Jaffna	FW01_03A	FW01_03A				0ppt	salinity GWAS; technical replica 1	Andrea Gloria-Soria	Private	Jaffna		Sri Lanka		9.6650403	80.0205976		
55	C08	Nallur	Nallur	FW03_01	FW03_01				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Nallur		Sri Lanka		9.6707887	80.0301617		
55	C09	Nallur	Nallur	FW04_04	FW04_04				0ppt	salinity GWAS	Andrea Gloria-Soria	Private	Nallur		Sri Lanka		9.6707887	80.0301617		
